n, time_ns, comparisons, allocations, max_recursion_depth
4500, 2038400, 5460, 2048, 12
4510, 1933500, 5445, 2048, 12
4520, 1883900, 5429, 2048, 12
4530, 1999500, 5590, 2048, 12
4540, 1920200, 5539, 2048, 12
4550, 1899400, 5529, 2048, 12
4560, 1883100, 5596, 2048, 12
4570, 1929100, 5617, 2048, 12
4580, 1869100, 5584, 2048, 12
4590, 2159500, 5640, 2048, 12
4600, 1886700, 5648, 2048, 12
4610, 1870100, 5651, 2048, 12
4620, 1986500, 5729, 2048, 12
4630, 1860300, 5687, 2048, 12
4640, 2137800, 5714, 2048, 12
4650, 1902100, 5707, 2048, 12
4660, 1856400, 5734, 2048, 12
4670, 1932500, 5771, 2048, 12
4680, 2182200, 5807, 2048, 12
4690, 1962600, 5874, 2048, 12
4700, 1945100, 5849, 2048, 12
4710, 2174900, 5866, 2048, 12
4720, 1943300, 5884, 2048, 12
4730, 2116500, 5921, 2048, 12
4740, 2287200, 5949, 2048, 12
4750, 2183000, 5895, 2048, 12
4760, 2122900, 5991, 2048, 12
4770, 2084000, 6061, 2048, 12
4780, 2528200, 6006, 2048, 12
4790, 2081600, 5958, 2048, 12
4800, 1928700, 6058, 2048, 12
4810, 2339400, 6096, 2048, 12
4820, 2369300, 6046, 2048, 12
4830, 2425900, 6115, 2048, 12
4840, 2334500, 6126, 2048, 12
4850, 2144100, 6112, 2048, 12
4860, 2011500, 6210, 2048, 12
4870, 2151800, 6253, 2048, 12
4880, 2075200, 6260, 2048, 12
4890, 2055900, 6226, 2048, 12
4900, 2017900, 6266, 2048, 12
4910, 1994700, 6257, 2048, 12
4920, 2036500, 6289, 2048, 12
4930, 1988500, 6260, 2048, 12
4940, 2069300, 6322, 2048, 12
4950, 2065100, 6299, 2048, 12
4960, 2031800, 6349, 2048, 12
4970, 2049200, 6335, 2048, 12
4980, 2083700, 6401, 2048, 12
4990, 2581300, 6483, 2048, 12
5000, 2991200, 6446, 2048, 12
5010, 2352000, 6421, 2048, 12
5020, 2101700, 6477, 2048, 12
5030, 2084600, 6455, 2048, 12
5040, 2108500, 6531, 2048, 12
5050, 2064300, 6517, 2048, 12
5060, 2084000, 6557, 2048, 12
5070, 2068500, 6489, 2048, 12
5080, 2172500, 6652, 2048, 12
5090, 2121900, 6692, 2048, 12
5100, 2121700, 6708, 2048, 12
5110, 2144600, 6708, 2048, 12
5120, 2132400, 6687, 2048, 12
5130, 2132600, 6679, 2048, 12
5140, 2115300, 6733, 2048, 12
5150, 2162900, 6732, 2048, 12
5160, 2195600, 6768, 2048, 12
5170, 2300600, 6831, 2048, 12
5180, 2230500, 6913, 2048, 12
5190, 2195100, 6852, 2048, 12
5200, 2138100, 6813, 2048, 12
5210, 2158400, 6867, 2048, 12
5220, 2149200, 6887, 2048, 12
5230, 2729900, 6864, 2048, 12
5240, 3119200, 6928, 2048, 12
5250, 3036000, 6872, 2048, 12
5260, 3621100, 6932, 2048, 12
5270, 3715700, 6997, 2048, 12
5280, 3123100, 6991, 2048, 12
5290, 2770600, 7030, 2048, 12
5300, 4238000, 7029, 2048, 12
5310, 3746900, 6999, 2048, 12
5320, 3257300, 7086, 2048, 12
5330, 2795800, 7135, 2048, 12
5340, 3010900, 7050, 2048, 12
5350, 2914100, 7076, 2048, 12
5360, 2864000, 7238, 2048, 12
5370, 2487800, 7202, 2048, 12
5380, 2313100, 7198, 2048, 12
5390, 2330400, 7251, 2048, 12
5400, 2244700, 7254, 2048, 12
5410, 2296900, 7259, 2048, 12
5420, 2292100, 7317, 2048, 12
5430, 2278800, 7308, 2048, 12
5440, 2280000, 7345, 2048, 12
5450, 2446600, 7380, 2048, 12
5460, 2338600, 7342, 2048, 12
5470, 2312800, 7359, 2048, 12
5480, 2330500, 7380, 2048, 12
5490, 2605100, 7431, 2048, 12
5500, 2333700, 7419, 2048, 12
5510, 2335700, 7429, 2048, 12
5520, 2347900, 7474, 2048, 12
5530, 2367100, 7495, 2048, 12
5540, 2357600, 7508, 2048, 12
5550, 2353600, 7523, 2048, 12
5560, 2370000, 7562, 2048, 12
5570, 2436600, 7524, 2048, 12
5580, 2454300, 7596, 2048, 12
5590, 2618200, 7595, 2048, 12
5600, 3157900, 7635, 2048, 12
5610, 2576800, 7636, 2048, 12
5620, 2818100, 7685, 2048, 12
5630, 2506600, 7715, 2048, 12
5640, 2395900, 7720, 2048, 12
5650, 2464100, 7735, 2048, 12
5660, 2765200, 7772, 2048, 12
5670, 2632000, 7747, 2048, 12
5680, 2582800, 7847, 2048, 12
5690, 3844200, 7822, 2048, 12
5700, 2460400, 7810, 2048, 12
5710, 2892100, 7893, 2048, 12
5720, 2517600, 7821, 2048, 12
5730, 2556000, 7889, 2048, 12
5740, 2580200, 7828, 2048, 12
5750, 2521600, 7942, 2048, 12
5760, 2498400, 7943, 2048, 12
5770, 3051900, 7919, 2048, 12
5780, 2842000, 8089, 2048, 12
5790, 2962000, 8077, 2048, 12
5800, 2730700, 8052, 2048, 12
5810, 2608200, 8035, 2048, 12
5820, 3128600, 8092, 2048, 12
5830, 2607900, 8080, 2048, 12
5840, 2566800, 8095, 2048, 12
5850, 2783800, 8121, 2048, 12
5860, 2657800, 8174, 2048, 12
5870, 2943600, 8155, 2048, 12
5880, 2687900, 8117, 2048, 12
5890, 2787400, 8249, 2048, 12
5900, 2601700, 8249, 2048, 12
5910, 2541200, 8177, 2048, 12
5920, 2699100, 8293, 2048, 12
5930, 3409200, 8345, 2048, 12
5940, 3179300, 8312, 2048, 12
5950, 2921200, 8366, 2048, 12
5960, 2604500, 8343, 2048, 12
5970, 2926300, 8384, 2048, 12
5980, 3207000, 8457, 2048, 12
5990, 10654000, 8421, 2048, 12
6000, 9464700, 8398, 2048, 12
6010, 3720700, 8462, 2048, 12
6020, 3245200, 8412, 2048, 12
6030, 2908100, 8544, 2048, 12
6040, 2767100, 8535, 2048, 12
6050, 2714300, 8540, 2048, 12
6060, 2979600, 8571, 2048, 12
6070, 2760100, 8620, 2048, 12
6080, 2756200, 8551, 2048, 12
6090, 2744000, 8635, 2048, 12
6100, 2682500, 8638, 2048, 12
6110, 2682500, 8719, 2048, 12
6120, 2641200, 8663, 2048, 12
6130, 2916200, 8695, 2048, 12
6140, 2670900, 8702, 2048, 12
6150, 2612400, 8683, 2054, 13
6160, 2665100, 8699, 2064, 13
6170, 2720100, 8739, 2074, 13
6180, 2652600, 8662, 2084, 13
6190, 2717800, 8769, 2094, 13
6200, 2754100, 8765, 2104, 13
6210, 2782900, 8790, 2114, 13
6220, 2739200, 8751, 2124, 13
6230, 2967000, 8726, 2134, 13
6240, 2750800, 8749, 2144, 13
6250, 2694900, 8750, 2154, 13
6260, 2787100, 8793, 2164, 13
6270, 2773400, 8699, 2174, 13
6280, 2747500, 8791, 2184, 13
6290, 2751800, 8752, 2194, 13
6300, 3056000, 8771, 2204, 13
6310, 2884800, 8741, 2214, 13
6320, 2831400, 8778, 2224, 13
6330, 3081600, 8772, 2234, 13
6340, 2823400, 8769, 2244, 13
6350, 2957700, 8856, 2254, 13
6360, 2872000, 8786, 2264, 13
6370, 2897000, 8799, 2274, 13
6380, 2825100, 8771, 2284, 13
6390, 3227900, 8786, 2294, 13
6400, 3643500, 8776, 2304, 13
6410, 4141200, 8869, 2314, 13
6420, 5348900, 8770, 2324, 13
6430, 4850100, 8851, 2334, 13
6440, 3690600, 8824, 2344, 13
6450, 2936100, 8801, 2354, 13
6460, 2914600, 8840, 2364, 13
6470, 2898500, 8822, 2374, 13
6480, 2953100, 8790, 2384, 13
6490, 3351500, 8830, 2394, 13
6500, 3519800, 8834, 2404, 13
6510, 3245000, 8834, 2414, 13
6520, 4444100, 8879, 2424, 13
6530, 5890300, 8835, 2434, 13
6540, 4712800, 8820, 2444, 13
6550, 3899700, 8750, 2454, 13
6560, 3421200, 8838, 2464, 13
6570, 4015900, 8845, 2474, 13
6580, 5577500, 8854, 2484, 13
6590, 5781800, 8903, 2494, 13
6600, 6645300, 8897, 2504, 13
6610, 5669100, 8848, 2514, 13
6620, 6099200, 8905, 2524, 13
6630, 6993800, 8922, 2534, 13
6640, 8173700, 8891, 2544, 13
6650, 7541700, 8880, 2554, 13
6660, 4869000, 8876, 2564, 13
6670, 3981200, 8872, 2574, 13
6680, 3258500, 8825, 2584, 13
6690, 3140100, 8868, 2594, 13
6700, 3585000, 8962, 2604, 13
6710, 3427700, 8870, 2614, 13
6720, 3766800, 8904, 2624, 13
6730, 3138100, 8860, 2634, 13
6740, 3702800, 8877, 2644, 13
6750, 3150400, 8923, 2654, 13
6760, 3533300, 9012, 2664, 13
6770, 3184900, 8884, 2674, 13
6780, 3106500, 8905, 2684, 13
6790, 3434900, 8908, 2694, 13
6800, 3310600, 8950, 2704, 13
6810, 3051300, 8934, 2714, 13
