n, time_ns, comparisons, allocations, max_recursion_depth
4570, 183700, 45246, 113, 9
4580, 173300, 46336, 110, 9
4590, 184700, 42376, 104, 8
4600, 181700, 42498, 109, 8
4610, 184500, 44199, 115, 9
4620, 174200, 45076, 94, 10
4630, 187400, 43630, 119, 8
4640, 174700, 43657, 115, 8
4650, 246200, 46219, 102, 9
4660, 367200, 44610, 102, 8
4670, 226700, 43276, 112, 9
4680, 190100, 42625, 105, 8
4690, 194900, 46176, 108, 8
4700, 185700, 42665, 108, 8
4710, 202400, 43245, 104, 7
4720, 96200, 23982, 38, 8
4730, 171700, 41702, 82, 9
4740, 191800, 43971, 107, 8
4750, 191300, 45609, 116, 9
4760, 188300, 47274, 106, 8
4770, 204800, 44121, 107, 9
4780, 189700, 43977, 109, 9
4790, 222800, 44282, 115, 8
4800, 192700, 45351, 87, 9
4810, 197700, 45565, 109, 9
4820, 192600, 43329, 112, 8
4830, 198600, 45226, 118, 9
4840, 199200, 48708, 105, 8
4850, 195700, 44765, 114, 8
4860, 187100, 46189, 105, 9
4870, 196100, 47108, 103, 8
4880, 193600, 46253, 120, 9
4890, 199400, 45359, 112, 8
4900, 197700, 46861, 101, 8
4910, 195000, 46623, 107, 8
4920, 184100, 43623, 95, 9
4930, 190100, 43856, 112, 9
4940, 214000, 47835, 110, 9
4950, 197400, 45644, 109, 8
4960, 193000, 50153, 111, 9
4970, 190100, 48216, 102, 9
4980, 188600, 48895, 115, 9
4990, 187900, 47923, 108, 9
5000, 189400, 48186, 113, 9
5010, 196600, 46689, 115, 9
5020, 189300, 48410, 109, 9
5030, 199100, 49486, 124, 7
5040, 197800, 47402, 121, 8
5050, 160000, 38353, 63, 7
5060, 191900, 51840, 107, 8
5070, 193800, 46972, 104, 8
5080, 202600, 49166, 115, 10
5090, 195100, 49442, 117, 9
5100, 196700, 46169, 112, 9
5110, 99500, 22190, 43, 7
5120, 251200, 47117, 118, 8
5130, 304500, 45946, 116, 9
5140, 234800, 51164, 127, 8
5150, 221200, 48434, 119, 8
5160, 219500, 50597, 120, 10
5170, 217100, 50847, 113, 9
5180, 222900, 49821, 104, 8
5190, 217300, 47056, 118, 8
5200, 206900, 52921, 119, 8
5210, 202800, 47104, 105, 9
5220, 258300, 50697, 120, 8
5230, 199200, 48419, 121, 9
5240, 185500, 47645, 94, 7
5250, 215100, 47348, 119, 10
5260, 198000, 47376, 111, 9
5270, 198700, 47363, 115, 9
5280, 200200, 49816, 113, 8
5290, 209300, 49644, 121, 8
5300, 211400, 52481, 119, 8
5310, 200700, 51317, 106, 10
5320, 210900, 53574, 121, 8
5330, 207100, 51047, 107, 9
5340, 216700, 50094, 122, 8
5350, 187200, 46059, 94, 8
5360, 204400, 48461, 119, 10
5370, 201500, 49977, 118, 9
5380, 207600, 49699, 124, 9
5390, 206900, 49420, 123, 11
5400, 209800, 52495, 120, 9
5410, 202900, 48201, 108, 9
5420, 212000, 49041, 101, 8
5430, 215600, 53822, 120, 10
5440, 193000, 44276, 96, 8
5450, 216600, 52306, 129, 9
5460, 211200, 51637, 124, 9
5470, 202800, 53843, 109, 7
5480, 206800, 49721, 122, 8
5490, 208000, 51775, 122, 10
5500, 216300, 54078, 120, 9
5510, 213500, 51587, 126, 9
5520, 214600, 55683, 123, 8
5530, 210000, 51140, 125, 10
5540, 220000, 53082, 132, 8
5550, 221200, 53649, 118, 8
5560, 223100, 52249, 125, 10
5570, 212000, 48854, 111, 8
5580, 229300, 54544, 127, 8
5590, 218900, 51853, 123, 8
5600, 214300, 52145, 130, 9
5610, 213100, 55809, 122, 9
5620, 283600, 52426, 120, 8
5630, 217500, 55002, 125, 8
5640, 221600, 56003, 130, 10
5650, 228400, 55424, 128, 9
5660, 219100, 54029, 126, 9
5670, 345200, 55459, 128, 9
5680, 269700, 56685, 126, 8
5690, 232400, 52993, 111, 8
5700, 224300, 55324, 115, 8
5710, 220400, 53105, 100, 8
5720, 232900, 53256, 127, 9
5730, 227700, 58618, 127, 8
5740, 229600, 52502, 131, 9
5750, 223300, 56318, 129, 8
5760, 234300, 58029, 119, 9
5770, 223100, 57939, 134, 8
5780, 205900, 54144, 89, 9
5790, 215100, 54036, 103, 10
5800, 298400, 54344, 119, 8
5810, 241900, 56084, 119, 10
5820, 212400, 50952, 99, 8
5830, 235100, 53765, 121, 9
5840, 228200, 52917, 97, 9
5850, 236200, 53444, 133, 10
5860, 232800, 54058, 118, 9
5870, 236700, 56052, 124, 9
5880, 226500, 52734, 124, 8
5890, 234800, 57808, 121, 8
5900, 224800, 57299, 109, 9
5910, 228700, 55056, 125, 9
5920, 227400, 55615, 118, 8
5930, 248600, 56655, 128, 8
5940, 222900, 58540, 96, 9
5950, 213400, 50624, 95, 10
5960, 284500, 52239, 117, 8
5970, 396600, 56435, 123, 8
5980, 235200, 59258, 114, 10
5990, 232200, 54739, 137, 9
6000, 244500, 59108, 134, 9
6010, 231300, 53789, 129, 10
6020, 228500, 56888, 120, 9
6030, 231000, 57674, 124, 9
6040, 226200, 56894, 121, 9
6050, 295500, 55897, 110, 9
6060, 334100, 54763, 118, 8
6070, 248200, 59569, 123, 9
6080, 241300, 57099, 124, 9
6090, 237300, 58141, 126, 8
6100, 247800, 55937, 126, 8
6110, 282000, 59182, 131, 9
6120, 261500, 56513, 116, 8
6130, 256700, 60812, 132, 9
6140, 117300, 32340, 35, 8
6150, 234900, 61817, 133, 10
6160, 226800, 59404, 115, 9
6170, 239100, 57451, 134, 8
6180, 256600, 61517, 135, 8
6190, 239500, 61095, 122, 9
