n, time_ns, comparisons, allocations, max_recursion_depth
2810, 195200, 37287, 23509, 7
2820, 222700, 37103, 21047, 7
2830, 242700, 40194, 22627, 7
2840, 263900, 37168, 23113, 8
2850, 264600, 38063, 21803, 7
2860, 214400, 36395, 21838, 7
2870, 209400, 39221, 24987, 7
2880, 205100, 40410, 20454, 7
2890, 200400, 39225, 22341, 7
2900, 198700, 42503, 26758, 7
2910, 239200, 39999, 22169, 7
2920, 230400, 35567, 22042, 7
2930, 190400, 40089, 23077, 7
2940, 196500, 40467, 23576, 8
2950, 204600, 37335, 24418, 7
2960, 218000, 38100, 22733, 8
2970, 203400, 37770, 22010, 8
2980, 203900, 37737, 24322, 7
2990, 210500, 44326, 23415, 7
3000, 199900, 40050, 27328, 7
3010, 206000, 43351, 25161, 7
3020, 200200, 39273, 23136, 7
3030, 206800, 37598, 22831, 8
3040, 210400, 39239, 23542, 7
3050, 206400, 41373, 26438, 7
3060, 206900, 38074, 21407, 8
3070, 211200, 44703, 24306, 8
3080, 200800, 39966, 21338, 6
3090, 216300, 41701, 24465, 7
3100, 205200, 40410, 22289, 7
3110, 215600, 41283, 23307, 7
3120, 222800, 43054, 24969, 8
3130, 245700, 43588, 28041, 7
3140, 252800, 38952, 22651, 7
3150, 276600, 41708, 25740, 7
3160, 229800, 45807, 27778, 7
3170, 302300, 40949, 23322, 7
3180, 229300, 42233, 25789, 8
3190, 225200, 41942, 24547, 8
3200, 217800, 41810, 26795, 8
3210, 217100, 42548, 25363, 7
3220, 255800, 40723, 25862, 8
3230, 304000, 44329, 24956, 7
3240, 219600, 43409, 27993, 8
3250, 254900, 46412, 26049, 7
3260, 227300, 45259, 27744, 7
3270, 227100, 50036, 32934, 8
3280, 231900, 46563, 28058, 8
3290, 283100, 43699, 25505, 7
3300, 227000, 42399, 24834, 7
3310, 229500, 43733, 26494, 8
3320, 235200, 45735, 29128, 8
3330, 238900, 42458, 26639, 8
3340, 277100, 41009, 26412, 8
3350, 243700, 48120, 26851, 7
3360, 269400, 49726, 27406, 7
3370, 294400, 44885, 25596, 7
3380, 292200, 53442, 30498, 7
3390, 253100, 42762, 25007, 8
3400, 281300, 47372, 29696, 7
3410, 300800, 43744, 27341, 8
3420, 282100, 43215, 26645, 8
3430, 251500, 44410, 28342, 7
3440, 238900, 43541, 27048, 8
3450, 259200, 44887, 27856, 8
3460, 239200, 44155, 29544, 7
3470, 255900, 45273, 26405, 8
3480, 257200, 52397, 31583, 7
3490, 256600, 50290, 28133, 8
3500, 265500, 46907, 29760, 7
3510, 260800, 53403, 30519, 7
3520, 247400, 46582, 28347, 8
3530, 260400, 50308, 30717, 8
3540, 251100, 48071, 27121, 7
3550, 247800, 44501, 26071, 8
3560, 308600, 46721, 25427, 8
3570, 326600, 50106, 27740, 7
3580, 259200, 49804, 25980, 7
3590, 269800, 47616, 29626, 8
3600, 305200, 46313, 27636, 7
3610, 271300, 46909, 26882, 8
3620, 308600, 52362, 30491, 7
3630, 300300, 49533, 30447, 8
3640, 258800, 48484, 31558, 7
3650, 307500, 57483, 37063, 7
3660, 338300, 51912, 30952, 8
3670, 315400, 51506, 30713, 7
3680, 317300, 47827, 30140, 8
3690, 329800, 48968, 30051, 8
3700, 330700, 48395, 30551, 8
3710, 343800, 50341, 28867, 7
3720, 332400, 52970, 30922, 7
3730, 340000, 56011, 34465, 7
3740, 325500, 52067, 29879, 7
3750, 342900, 50828, 31609, 7
3760, 339100, 50398, 32219, 8
3770, 355500, 52394, 34712, 7
3780, 343900, 51045, 33525, 7
3790, 341700, 52307, 35099, 7
3800, 350700, 48907, 29205, 8
3810, 350400, 51892, 31142, 7
3820, 336700, 50521, 32757, 7
3830, 346700, 51434, 30410, 7
3840, 336400, 52469, 32494, 8
3850, 368100, 50398, 31444, 8
3860, 387800, 53313, 34615, 8
3870, 346900, 53432, 34365, 7
3880, 332600, 50618, 28513, 7
3890, 363300, 58688, 32177, 7
3900, 346300, 51185, 30294, 7
3910, 356300, 50909, 32337, 8
3920, 388900, 52362, 30641, 7
3930, 325900, 54329, 33148, 7
3940, 291500, 55878, 34052, 7
3950, 296700, 61263, 37027, 7
3960, 308600, 53224, 30692, 8
3970, 313200, 53728, 29589, 8
3980, 285100, 51477, 31209, 8
3990, 303300, 55556, 36658, 8
4000, 290000, 51210, 33405, 8
4010, 292000, 56550, 34824, 8
4020, 302000, 53683, 35070, 7
4030, 276800, 58681, 36151, 7
4040, 291500, 54333, 31700, 8
4050, 292500, 57546, 31281, 7
4060, 305200, 57377, 36259, 7
